Date	S&P
1/22/07	1422.95
1/23/07	1427.99
1/24/07	1440.13
1/25/07	1423.9
1/26/07	1422.18
1/29/07	1420.62
1/30/07	1428.82
1/31/07	1438.24
2/1/07	1445.94
2/2/07	1448.39
2/5/07	1446.99
2/6/07	1448
2/7/07	1450.02
2/8/07	1448.31
2/9/07	1438.06
2/12/07	1433.37
2/13/07	1444.26
2/14/07	1455.3
2/15/07	1456.81
2/16/07	1455.54
2/20/07	1459.68
2/21/07	1457.63
2/22/07	1456.38
2/23/07	1451.19
2/26/07	1449.37
2/27/07	1399.04
2/28/07	1406.82
3/1/07	1403.17
3/2/07	1387.17
3/5/07	1374.12
3/6/07	1395.41
3/7/07	1391.97
3/8/07	1401.89
3/9/07	1402.84
3/12/07	1406.6
3/13/07	1377.95
3/14/07	1387.17
3/15/07	1392.28
3/16/07	1386.95
3/19/07	1402.06
3/20/07	1410.94
3/21/07	1435.04
3/22/07	1434.54
3/23/07	1436.11
3/26/07	1437.5
3/27/07	1428.61
3/28/07	1417.23
3/29/07	1422.53
3/30/07	1420.86
4/2/07	1424.55
4/3/07	1437.77
4/4/07	1439.37
4/5/07	1443.76
4/9/07	1444.61
4/10/07	1448.39
4/11/07	1438.87
4/12/07	1447.8
4/13/07	1452.85
4/16/07	1468.33
4/17/07	1471.48
4/18/07	1472.5
4/19/07	1470.73
4/20/07	1484.35
4/23/07	1480.93
4/24/07	1480.41
4/25/07	1495.42
4/26/07	1494.25
4/27/07	1494.07
4/30/07	1482.37
5/1/07	1486.3
5/2/07	1495.92
5/3/07	1502.39
5/4/07	1505.62
5/7/07	1509.48
5/8/07	1507.72
5/9/07	1512.58
5/10/07	1491.47
5/11/07	1505.85
5/14/07	1503.15
5/15/07	1501.19
5/16/07	1514.14
5/17/07	1512.75
5/18/07	1522.75
5/21/07	1525.1
5/22/07	1524.12
5/23/07	1522.28
5/24/07	1507.51
5/25/07	1515.73
5/29/07	1518.11
5/30/07	1530.23
5/31/07	1530.62
6/1/07	1536.34
6/4/07	1539.18
6/5/07	1530.95
6/6/07	1517.38
6/7/07	1490.72
6/8/07	1507.67
6/11/07	1509.12
6/12/07	1493
6/13/07	1515.67
6/14/07	1522.97
6/15/07	1532.91
6/18/07	1531.05
6/19/07	1533.7
6/20/07	1512.84
6/21/07	1522.19
6/22/07	1502.56
6/25/07	1497.74
6/26/07	1492.89
6/27/07	1506.34
6/28/07	1505.71
6/29/07	1503.35
7/2/07	1519.43
7/3/07	1524.87
7/5/07	1525.4
7/6/07	1530.44
7/9/07	1531.85
7/10/07	1510.12
7/11/07	1518.76
7/12/07	1547.7
7/13/07	1552.5
7/16/07	1549.52
7/17/07	1549.37
7/18/07	1546.17
7/19/07	1553.08
7/20/07	1534.1
7/23/07	1541.57
7/24/07	1511.04
7/25/07	1518.09
7/26/07	1482.66
7/27/07	1458.95
7/30/07	1473.91
7/31/07	1455.27
8/1/07	1465.81
8/2/07	1472.2
8/3/07	1433.06
8/6/07	1467.67
8/7/07	1476.71
8/8/07	1497.49
8/9/07	1453.09
8/10/07	1453.64
8/13/07	1452.92
8/14/07	1426.54
8/15/07	1406.7
8/16/07	1411.27
8/17/07	1445.94
8/20/07	1445.55
8/21/07	1447.12
8/22/07	1464.07
8/23/07	1462.5
8/24/07	1479.37
8/27/07	1466.79
8/28/07	1432.36
8/29/07	1463.76
8/30/07	1457.64
8/31/07	1473.99
9/4/07	1489.42
9/5/07	1472.29
9/6/07	1478.55
9/7/07	1453.55
9/10/07	1451.7
9/11/07	1471.49
9/12/07	1471.56
9/13/07	1483.95
9/14/07	1484.25
9/17/07	1476.65
9/18/07	1519.78
9/19/07	1529.03
9/20/07	1518.75
9/21/07	1525.75
9/24/07	1517.73
9/25/07	1517.21
9/26/07	1525.42
9/27/07	1531.38
9/28/07	1526.75
10/1/07	1547.04
10/2/07	1546.63
10/3/07	1539.59
10/4/07	1542.84
10/5/07	1557.59
10/8/07	1552.58
10/9/07	1565.15
10/10/07	1562.47
10/11/07	1554.41
10/12/07	1561.8
10/15/07	1548.71
10/16/07	1538.53
10/17/07	1541.24
10/18/07	1540.08
10/19/07	1500.63
10/22/07	1506.33
10/23/07	1519.59
10/24/07	1515.88
10/25/07	1514.4
10/26/07	1535.28
10/29/07	1540.98
10/30/07	1531.02
10/31/07	1549.38
11/1/07	1508.44
11/2/07	1509.65
11/5/07	1502.17
11/6/07	1520.27
11/7/07	1475.62
11/8/07	1474.77
11/9/07	1453.7
11/12/07	1439.18
11/13/07	1481.05
11/14/07	1470.58
11/15/07	1451.15
11/16/07	1458.74
11/19/07	1433.27
11/20/07	1439.7
11/21/07	1416.77
11/23/07	1440.7
11/26/07	1407.22
11/27/07	1428.23
11/28/07	1469.02
11/29/07	1469.72
11/30/07	1481.14
12/3/07	1472.42
12/4/07	1462.79
12/5/07	1485.01
12/6/07	1507.34
12/7/07	1504.66
12/10/07	1515.96
12/11/07	1477.65
12/12/07	1486.59
12/13/07	1488.41
12/14/07	1467.95
12/17/07	1445.9
12/18/07	1454.98
12/19/07	1453
12/20/07	1460.12
12/21/07	1484.46
12/24/07	1496.45
12/26/07	1497.66
12/27/07	1476.27
12/28/07	1478.49
12/31/07	1468.36
1/2/08	1447.16
1/3/08	1447.16
